date,date_block_num,shop_id,item_id,item_price,item_cnt_day
2013-05-01,0,19,6584,549.0,1.0
2013-09-01,0,29,6584,549.0,1.0
2013-04-01,0,4,6584,549.0,1.0
2013-01-16,0,3,6584,549.0,1.0
2013-01-26,0,31,6584,549.0,1.0
2013-02-01,0,31,6584,549.0,1.0
2013-02-01,0,56,6584,549.0,1.0
2013-03-01,0,54,6584,549.0,1.0
2013-04-01,0,54,6584,549.0,1.0
2013-11-01,0,41,6584,549.0,1.0
2013-01-19,0,44,6584,549.0,1.0
2013-03-02,1,47,6584,549.0,1.0
2013-02-28,1,42,6584,549.0,1.0
2013-08-02,1,59,6584,549.0,1.0
2013-02-15,1,18,6584,549.0,1.0
2013-02-17,1,8,6584,549.0,1.0
2013-02-28,1,35,6584,549.0,1.0
2013-02-19,1,30,6584,549.0,1.0
2013-03-24,2,10,6584,399.0,1.0
2013-04-20,3,3,6584,549.0,1.0
2013-10-04,3,15,6584,549.0,1.0
2013-04-21,3,46,6584,549.0,1.0
2013-05-25,4,51,6584,399.0,1.0
2013-08-05,4,2,6584,549.0,1.0
2013-12-07,6,27,6584,549.0,1.0
2013-07-20,6,27,6584,549.0,1.0
2013-07-24,6,27,6584,549.0,1.0
2013-06-07,6,28,6584,549.0,1.0
2013-07-19,6,28,6584,549.0,1.0
2013-07-07,6,25,6584,549.0,1.0
2013-07-16,6,26,6584,549.0,1.0
2013-07-22,6,35,6584,549.0,1.0
2013-07-15,6,30,6584,549.0,1.0
2013-07-29,6,30,6584,549.0,1.0
2013-12-07,6,29,6584,549.0,1.0
2013-07-14,6,31,6584,549.0,1.0
2013-07-25,6,31,6584,549.0,1.0
2013-08-07,6,12,6584,549.0,1.0
2013-07-15,6,7,6584,549.0,1.0
2013-11-07,6,2,6584,549.0,1.0
2013-07-27,6,16,6584,549.0,1.0
2013-07-31,6,19,6584,549.0,1.0
2013-07-14,6,18,6584,549.0,1.0
2013-07-19,6,56,6584,549.0,1.0
2013-04-07,6,54,6584,549.0,1.0
2013-12-07,6,54,6584,549.0,1.0
2013-07-21,6,54,6584,549.0,1.0
2013-07-25,6,54,6584,549.0,1.0
2013-07-14,6,58,6584,549.0,1.0
2013-11-07,6,57,6584,549.0,1.0
2013-07-30,6,57,6584,549.0,1.0
2013-07-31,6,46,6584,549.0,1.0
2013-09-07,6,42,6584,549.0,1.0
2013-11-07,6,41,6584,549.0,1.0
2013-07-13,6,44,6584,549.0,1.0
2013-07-28,6,44,6584,549.0,1.0
2013-09-07,6,51,6584,399.0,1.0
2013-07-19,6,51,6584,399.0,1.0
2013-07-15,6,50,6584,549.0,1.0
2013-07-23,6,50,6584,549.0,1.0
2013-07-18,6,47,6584,549.0,1.0
2013-08-23,7,58,6584,549.0,1.0
2013-01-08,7,59,6584,549.0,1.0
2013-08-16,7,46,6584,549.0,1.0
2013-05-08,7,42,6584,549.0,1.0
2013-08-25,7,42,6584,549.0,1.0
2013-08-31,7,42,6584,549.0,1.0
2013-02-08,7,45,6584,549.0,1.0
2013-08-08,7,44,6584,549.0,1.0
2013-08-31,7,54,6584,549.0,1.0
2013-08-16,7,54,6584,549.0,1.0
2013-08-15,7,54,6584,549.0,1.0
2013-08-14,7,54,6584,549.0,1.0
2013-11-08,7,54,6584,549.0,1.0
2013-10-08,7,54,6584,549.0,1.0
2013-01-08,7,54,6584,549.0,1.0
2013-08-26,7,57,6584,549.0,1.0
2013-09-08,7,56,6584,549.0,1.0
2013-08-28,7,35,6584,549.0,1.0
2013-08-25,7,37,6584,549.0,1.0
2013-08-15,7,31,6584,549.0,1.0
2013-11-08,7,24,6584,549.0,1.0
2013-02-08,7,18,6584,549.0,1.0
2013-07-08,7,16,6584,549.0,1.0
2013-10-08,7,16,6584,549.0,1.0
2013-11-08,7,19,6584,549.0,1.0
2013-08-08,7,28,6584,549.0,1.0
2013-08-16,7,28,6584,549.0,1.0
2013-08-18,7,28,6584,549.0,1.0
2013-08-25,7,28,6584,549.0,1.0
2013-08-31,7,28,6584,549.0,2.0
